Top (Ma),Base (Ma),Duration (myr)
170.16,170.22,0.06
170.22,170.26,0.04
170.26,170.3,0.04
170.3,170.56,0.26
170.56,171.15,0.59
171.15,171.22,0.07
171.22,171.48,0.26
171.48,172.06,0.58
172.06,172.23,0.17
172.23,172.43,0.2
172.43,173.14,0.71
173.14,173.44,0.3
173.44,174.29,0.85
174.29,174.46,0.17
174.46,174.71,0.25
174.71,174.9,0.19
174.9,175.03,0.13
175.03,175.64,0.61
175.64,175.83,0.19
175.83,177.57,1.74
177.57,177.87,0.3
177.87,178.91,1.04
178.91,179.09,0.18
179.09,179.37,0.28
179.37,180.62,1.25
180.62,180.79,0.17
180.79,181.25,0.46
181.25,181.57,0.32
181.57,182.47,0.9
182.47,182.7,0.23
182.7,182.85,0.15
182.85,183.35,0.5
183.35,183.39,0.04
183.39,183.51,0.12
183.51,183.75,0.24
183.75,183.9,0.15
183.9,184.03,0.13
184.03,184.18,0.15
184.18,184.31,0.13
184.31,184.38,0.07
184.38,184.47,0.09
184.47,184.52,0.05
184.52,184.69,0.17
184.69,184.72,0.03
184.72,184.85,0.13
184.85,184.96,0.11
184.96,184.99,0.03
184.99,185.33,0.34
185.33,185.46,0.13
185.46,186.65,1.19
186.65,186.78,0.13
186.78,187.06,0.28
187.06,187.14,0.08
187.14,187.16,0.02
187.16,187.39,0.23
187.39,187.46,0.07
187.46,188.54,1.08
188.54,188.83,0.29
188.83,188.88,0.05
188.88,188.98,0.1
188.98,189.05,0.07
189.05,189.08,0.03
189.08,189.13,0.05
189.13,189.18,0.05
189.18,189.21,0.03
189.21,189.37,0.16
189.37,189.44,0.07
189.44,189.51,0.07
189.51,189.65,0.14
189.65,190.03,0.38
190.03,190.41,0.38
190.41,190.5,0.09
190.5,190.55,0.05
190.55,190.72,0.17
190.72,191.81,1.09
191.81,193.31,1.5
193.31,194.93,1.62
194.93,195.08,0.15
195.08,195.23,0.15
195.23,196.31,1.08
196.31,196.46,0.15
196.46,197.95,1.49
197.95,198.18,0.23
198.18,198.28,0.1
198.28,198.33,0.05
198.33,198.63,0.3
198.63,199.08,0.45
199.08,199.23,0.15
199.23,199.44,0.21
199.44,199.48,0.04
199.48,199.8,0.32
199.8,199.86,0.06
199.86,201.45,1.59
201.45,201.48,0.03
201.48,202.46,0.98
202.46,202.76,0.3
202.76,203,0.24
203,203.01,0.01
203.01,203.37,0.36
203.37,203.69,0.32
203.69,203.71,0.02
203.71,203.84,0.13
203.84,203.89,0.05
203.89,204.08,0.19
204.08,204.61,0.53
204.61,205.98,1.37
205.98,206.02,0.04
206.02,206.19,0.17
206.19,206.31,0.12
206.31,207,0.69
207,207.15,0.15
207.15,207.53,0.38
207.53,208.05,0.52
208.05,209.44,1.39
209.44,209.9,0.46
209.9,210.19,0.29
210.19,211.99,1.8
211.99,212.3,0.31
212.3,212.33,0.03
212.33,212.54,0.21
212.54,213.37,0.83
213.37,214.86,1.49
214.86,216.09,1.23
216.09,216.9,0.81
216.9,217.82,0.92
217.82,217.85,0.03
217.85,218.36,0.51
218.36,219.21,0.85
219.21,219.38,0.17
219.38,221.39,2.01
221.39,221.66,0.27
221.66,222.16,0.5
222.16,222.65,0.49
222.65,223.92,1.27
223.92,224.45,0.53
224.45,226.06,1.61
226.06,226.68,0.62
226.68,227.05,0.37
227.05,228.35,1.3
228.35,228.71,0.36
228.71,229.42,0.71
229.42,229.81,0.39
229.81,229.96,0.15
229.96,230.07,0.11
230.07,230.48,0.41
230.48,230.66,0.18
230.66,231.08,0.42
231.08,231.25,0.17
231.25,231.48,0.23
231.48,231.84,0.36
231.84,232.53,0.69
232.53,233.175,0.645
233.175,233.69,0.515
233.69,233.99,0.3
233.99,234.31,0.32
234.31,234.94,0.63
234.94,235.01,0.07
235.01,235.13,0.12
235.13,235.49,0.36
235.49,235.54,0.05
235.54,235.63,0.09
235.63,235.83,0.2
235.83,236.27,0.44
236.27,236.33,0.06
236.33,237.09,0.76
237.09,237.27,0.18
237.27,238.26,0.99
238.26,238.52,0.26
238.52,238.58,0.06
238.58,238.59,0.01
238.59,238.59,0
238.59,238.61,0.02
238.61,238.62,0.01
238.62,238.68,0.06
238.68,239.1,0.42
239.1,239.28,0.18
239.28,239.48,0.2
239.48,239.7,0.22
239.7,240.12,0.42
240.12,240.18,0.06
240.18,240.66,0.48
240.66,240.69,0.03
240.69,240.7,0.01
240.7,241.57,0.87
241.57,241.6,0.03
241.6,241.71,0.11
241.71,241.99,0.28
241.99,242.04,0.05
242.04,242.48,0.44
242.48,243.66,1.18
243.66,243.8,0.14
243.8,244.05,0.25
244.05,244.13,0.08
244.13,244.67,0.54
244.67,244.82,0.15
244.82,244.85,0.03
244.85,246.29,1.44
246.29,246.36,0.07
246.36,246.38,0.02
246.38,246.39,0.01
246.39,246.4,0.01
246.4,246.41,0.01
246.41,246.57,0.16
246.57,246.6,0.03
246.6,246.96,0.36
246.96,247,0.04
247,247.02,0.02
247.02,247.04,0.02
247.04,247.06,0.02
247.06,247.22,0.16
247.22,247.34,0.12
247.34,247.39,0.05
247.39,247.57,0.18
247.57,247.71,0.14
247.71,248.03,0.32
248.03,248.09,0.06
248.09,248.19,0.1
248.19,248.31,0.12
248.31,248.81,0.5
248.81,249.01,0.2
249.01,249.36,0.35
249.36,249.94,0.58
249.94,250.01,0.07
250.01,250.54,0.53
250.54,250.97,0.43
250.97,251.44,0.47
251.44,251.55,0.11
251.55,251.61,0.06
251.61,252.33,0.72
252.33,252.61,0.28
252.61,252.69,0.08
252.69,253,0.31
253,253.42,0.42
253.42,253.51,0.09
253.51,253.85,0.34
253.85,253.89,0.04
253.89,256,2.11
256,258.01,2.01
258.01,258.18,0.17
258.18,260.13,1.95
260.13,260.77,0.64
260.77,260.93,0.16
260.93,261.68,0.75
261.68,263.01,1.33
263.01,263.17,0.16
263.17,266.06,2.89
266.06,267.34,1.28
267.34,299.09,31.75
299.09,299.36,0.27
299.36,317.35,17.99
317.35,317.42,0.07
317.42,318.17,0.75
318.17,319.47,1.3
319.47,322.75,3.28
322.75,324.38,1.63
324.38,328.3,3.92
328.3,328.62,0.32
328.62,330.55,1.93
